CustomerID,CustomerName,Country,City,Email,Phone
CUST-1000,Customer_1,Brazil,City_1,,1-555-1000
CUST-1001,Customer_2,Germany,City_2,customer2@tradeco.com,1-555-1001
CUST-1002,Customer_3,China,City_3,customer3@tradeco.com,1-555-1002
CUST-1003,Customer_4,USA,City_4,customer4@tradeco.com,1-555-1003
CUST-1004,Customer_5,Brazil,City_5,customer5@tradeco.com,1-555-1004
CUST-1005,Customer_6,Brazil,City_6,customer6@tradeco.com,1-555-1005
CUST-1006,Customer_7,USA,City_7,,1-555-1006
CUST-1007,Customer_8,Germany,City_8,customer8@tradeco.com,1-555-1007
CUST-1008,Customer_9,Brazil,City_9,customer9@tradeco.com,1-555-1008
CUST-1009,Customer_10,Germany,City_10,customer10@tradeco.com,1-555-1009
CUST-1010,Customer_11,Germany,City_11,customer11@tradeco.com,1-555-1010
CUST-1011,Customer_12,Germany,City_12,customer12@tradeco.com,1-555-1011
CUST-1012,Customer_13,China,City_13,,1-555-1012
CUST-1013,Customer_14,Germany,City_14,customer14@tradeco.com,1-555-1013
CUST-1014,Customer_15,USA,City_15,customer15@tradeco.com,1-555-1014
CUST-1015,Customer_16,Germany,City_16,customer16@tradeco.com,1-555-1015
CUST-1016,Customer_17,China,City_17,customer17@tradeco.com,1-555-1016
CUST-1017,Customer_18,USA,City_18,customer18@tradeco.com,1-555-1017
CUST-1018,Customer_19,Germany,City_19,,1-555-1018
CUST-1019,Customer_20,USA,City_20,customer20@tradeco.com,1-555-1019
CUST-1020,Customer_21,China,City_21,customer21@tradeco.com,1-555-1020
CUST-1021,Customer_22,Germany,City_22,customer22@tradeco.com,1-555-1021
CUST-1022,Customer_23,Brazil,City_23,customer23@tradeco.com,1-555-1022
CUST-1023,Customer_24,Germany,City_24,customer24@tradeco.com,1-555-1023
CUST-1024,Customer_25,China,City_25,,1-555-1024
CUST-1025,Customer_26,Germany,City_26,customer26@tradeco.com,1-555-1025
CUST-1026,Customer_27,China,City_27,customer27@tradeco.com,1-555-1026
CUST-1027,Customer_28,China,City_28,customer28@tradeco.com,1-555-1027
CUST-1005,Customer_6,Brazil,City_6,customer6@tradeco.com,1-555-1005
CUST-1010,Customer_11,Germany,City_11,customer11@tradeco.com,1-555-1010
